selectedOption;Kołnierz:U;Kołnierz:P;Kołnierz:L;Kołnierz:LH;Kołnierz:R;Kołnierz:BP;Kołnierz:D;Kołnierz:RESET;Kołnierz:KK;10;12;14;16;10;25;Aluminium;Miedź;TytanCynk;EPDM;Aluminium:Półmat;Aluminium:Mat;Aluminium:Połysk;MiedźTytanCynk:Natur;Aluminium:RAL7022;Aluminium:RAL7024;Aluminium:RAL7016;Aluminium:RAL9005;Aluminium:RAL8016;Miedź:Natur;TytanCynk:Natur;Kołnierz:UO;Kołnierz:HO;Kołnierz:UE;Kołnierz:HE;Kołnierz:BRAK;Kołnierz:KA;Kołnierz:KE;Kołnierz:A;Kołnierz:UB;Kołnierz:KO;Kołnierz:HA
Miedź;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;TRUE;TRUE;NULL;TRUE;TRUE;TRUE;TRUE;TRUE;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
TytanCynk;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;TRUE;TRUE;NULL;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
EPDM;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;NULL;NULL;NULL;TRUE;NULL;TRUE;TRUE;TRUE;TRUE
Aluminium:Półmat;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;TRUE;TRUE;NULL;NULL;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;TRUE;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Aluminium:Mat;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;TRUE;TRUE;NULL;NULL;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;TRUE;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Aluminium:Połysk;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;TRUE;TRUE;NULL;NULL;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;TRUE;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MiedźTytanCynk:Natur;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;NULL;NULL;TRUE;TRUE;TRUE;TRUE;NULL;TRUE;TRUE;TRUE;TRUE;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Aluminium:RAL7022;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;TRUE;TRUE;NULL;NULL;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Aluminium:RAL7024;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;TRUE;TRUE;NULL;NULL;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Aluminium:RAL7016;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;TRUE;TRUE;NULL;NULL;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Aluminium:RAL9005;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;TRUE;TRUE;NULL;NULL;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Aluminium:RAL8016;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;TRUE;TRUE;NULL;NULL;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Miedź:Natur;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;NULL;TRUE;TRUE;TRUE;TRUE;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
TytanCynk:Natur;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;TRUE;NULL;TRUE;TRUE;TRUE;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Kołnierz:UO;NULL;TRUE;TRUE;TRUE;TRUE;NULL;TRUE;TRUE;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Kołnierz:HO;NULL;TRUE;TRUE;TRUE;TRUE;NULL;TRUE;TRUE;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Kołnierz:UE;NULL;TRUE;TRUE;TRUE;TRUE;NULL;TRUE;TRUE;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Kołnierz:HE;NULL;TRUE;TRUE;TRUE;TRUE;NULL;TRUE;TRUE;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Kołnierz:BRAK;TRUE;NULL;NULL;NULL;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Kołnierz:KA;NULL;TRUE;TRUE;TRUE;TRUE;NULL;TRUE;TRUE;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Kołnierz:KE;NULL;TRUE;TRUE;TRUE;TRUE;NULL;TRUE;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Kołnierz:A;NULL;TRUE;TRUE;TRUE;TRUE;NULL;TRUE;TRUE;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Kołnierz:UB;NULL;TRUE;TRUE;TRUE;TRUE;NULL;TRUE;TRUE;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Kołnierz:KO;NULL;TRUE;TRUE;TRUE;TRUE;NULL;TRUE;TRUE;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Kołnierz:HA;NULL;TRUE;TRUE;TRUE;TRUE;NULL;TRUE;TRUE;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;TRUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
